company,country,segment
Meier Tobler Group AG,Switzerland,Swiss Reporting Standard
Metall Zug AG,Switzerland,Swiss Reporting Standard
Mikron Holding AG,Switzerland,Swiss Reporting Standard
MindMaze Therapeutics Holding SA,Switzerland,International Reporting Standard
mobilezone holding ag,Switzerland,Swiss Reporting Standard
Mobimo Holding AG,Switzerland,Standard for Real Estate Companies
Molecular Partners AG,Switzerland,International Reporting Standard
Montana Aerospace AG,Switzerland,International Reporting Standard
naturenergie holding AG,Switzerland,Swiss Reporting Standard
Nestlé AG,Switzerland,International Reporting Standard
Novartis AG,Switzerland,International Reporting Standard
Novavest Real Estate AG,Switzerland,Standard for Real Estate Companies
OC Oerlikon Corporation AG,Switzerland,International Reporting Standard
Orell Füssli AG,Switzerland,Standard Sparks
Orior AG,Switzerland,Swiss Reporting Standard
Partners Group Holding AG,Switzerland,International Reporting Standard
Peach Property Group AG,Switzerland,Standard for Real Estate Companies
Perrot Duval Holding SA,Switzerland,Swiss Reporting Standard
Phoenix Mecano AG,Switzerland,Swiss Reporting Standard
PLAZZA AG,Switzerland,Standard for Real Estate Companies
PolyPeptide Group AG,Switzerland,International Reporting Standard
PSP Swiss Property AG,Switzerland,Standard for Real Estate Companies
R&S Group Holding AG,Switzerland,Swiss Reporting Standard
Rieter Holding AG,Switzerland,International Reporting Standard
Roche Holding AG,Switzerland,International Reporting Standard
Romande Energie Holding SA,Switzerland,Swiss Reporting Standard
Sandoz Group AG,Switzerland,International Reporting Standard
Santhera Pharmaceuticals Holding AG,Switzerland,International Reporting Standard
Schindler Holding AG,Switzerland,International Reporting Standard
Schlatter Industries AG,Switzerland,Standard Sparks
Schweiter Technologies AG,Switzerland,International Reporting Standard
Schweizerische Nationalbank,Switzerland,Swiss Reporting Standard
Sensirion Holding AG,Switzerland,Swiss Reporting Standard
SF Urban Properties AG,Switzerland,Standard for Real Estate Companies
SFS Group AG,Switzerland,Swiss Reporting Standard
SGS AG,Switzerland,International Reporting Standard
Siegfried Holding AG,Switzerland,Swiss Reporting Standard
SIG Group Ltd,Switzerland,International Reporting Standard
Sika AG,Switzerland,International Reporting Standard
SKAN Group AG,Switzerland,Swiss Reporting Standard
SMG Swiss Marketplace Group Holding AG,Switzerland,International Reporting Standard
SoftwareOne Holding AG,Switzerland,International Reporting Standard
Sonova Holding AG,Switzerland,International Reporting Standard
St.Galler Kantonalbank AG,Switzerland,Swiss Reporting Standard
Stadler Rail AG,Switzerland,Swiss Reporting Standard
StarragTornos Group AG,Switzerland,Swiss Reporting Standard
Straumann Holding AG,Switzerland,International Reporting Standard
Sulzer AG,Switzerland,International Reporting Standard
Sunrise Communications AG,Switzerland,International Reporting Standard
Swiss Life Holding AG,Switzerland,International Reporting Standard
Swiss Prime Site AG,Switzerland,Standard for Real Estate Companies
Swiss Re AG,Switzerland,International Reporting Standard
Swisscom AG,Switzerland,International Reporting Standard
Swissquote Group Holding Ltd,Switzerland,International Reporting Standard
Tecan Group AG,Switzerland,International Reporting Standard
TEMENOS AG,Switzerland,International Reporting Standard
The Swatch Group AG,Switzerland,Swiss Reporting Standard
Thurgauer Kantonalbank,Switzerland,Swiss Reporting Standard
TX Group AG,Switzerland,International Reporting Standard
UBS Group AG,Switzerland,International Reporting Standard
V-ZUG Holding AG,Switzerland,Swiss Reporting Standard
Valartis Group AG,Switzerland,International Reporting Standard
Valiant Holding AG,Switzerland,Swiss Reporting Standard
Varia US Properties AG,Switzerland,Standard for Real Estate Companies
VAT Group AG,Switzerland,International Reporting Standard
Vaudoise Assurances Holding SA,Switzerland,Swiss Reporting Standard
Vetropack Holding AG,Switzerland,Swiss Reporting Standard
Villars Holding S.A.,Switzerland,Swiss Reporting Standard
Vontobel Holding AG,Switzerland,International Reporting Standard
VZ Holding AG,Switzerland,International Reporting Standard
Walliser Kantonalbank,Switzerland,Swiss Reporting Standard
Warteck Invest AG,Switzerland,Standard for Real Estate Companies
WISeKey International Holding AG,Switzerland,International Reporting Standard
Xlife Sciences AG,Switzerland,International Reporting Standard
Ypsomed Holding AG,Switzerland,Swiss Reporting Standard
Zehnder Group AG,Switzerland,Swiss Reporting Standard
Züblin Immobilien Holding AG,Switzerland,Standard for Real Estate Companies
Zug Estates Holding AG,Switzerland,Standard for Real Estate Companies
Zuger Kantonalbank,Switzerland,Swiss Reporting Standard
Zurich Insurance Group AG,Switzerland,International Reporting Standard
