company,country,segment
Trayal Korporacija a.d. (Kruševac),Serbia,Open Market
Trivit mlin a.d. (Vrbas),Serbia,Open Market
Trivit Pek a.d. (Vrbas),Serbia,Open Market
Tržnica a.d. (Subotica),Serbia,Open Market
Univerzal a.d. (Kanjiža),Serbia,Open Market
Usluga a.d. (Bačka Topola),Serbia,Open Market
Utva silosi a.d. (Kovin),Serbia,Open Market
Veterinarska stanica a.d. (Kikinda),Serbia,Open Market
Veterinarska stanica Šabac a.d. (Šabac),Serbia,Open Market
VIK a.d. (Vršac),Serbia,Open Market
Voda Vrnjci a.d. (Vrnjačka Banja),Serbia,Open Market
Vojvodina a.d. (Novi Sad),Serbia,Open Market
Vojvodina a.d. (Srbobran),Serbia,Open Market
Woksal a.d. (Užice),Serbia,Open Market
Zlatarplast a.d. (Nova Varoš),Serbia,Open Market
Zlatibor gradnja a.d. (Beograd),Serbia,Open Market
Žitopek a.d. (Niš),Serbia,Open Market
